Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад № 355 Московского района Санкт-Петербурга;Санкт-Петербург г, Алтайская ул, 2, А, 196066;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №116 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Альпийский пер, 5, А, 1, 192239;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №53 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Английский пр-кт, 4-6, Б, 190121;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №1 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Антонова-Овсеенко ул, 15, А, 193168;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №101 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Антонова-Овсеенко ул, 25, А, 2, 193168;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №117 Невского района Санкт-Петербурга;Санкт-Петербург г, Антонова-Овсеенко ул, 5, А, 3, 193168;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Антонова-Овсеенко ул, 5, А, 4, 193168;Невский
Санкт-Петербургское государственное автономное дошкольное образовательное учреждение детский сад №18 Калининского района Санкт-Петербурга;Санкт-Петербург г, Антоновская ул, 3, А, 195221;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №17 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Антоновская ул, 7, А, 195221;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №82 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Аптекарский пр-кт, 18, А, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №13 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Архитектора Белова ул, 4, А, 194356;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 91 Приморского района Санкт-Петербурга;Санкт-Петербург г, Арцеуловская ал., 19, А, 2, 197350;Приморский
