Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад №27 общеразвивающего вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Красноармейская ул, 5, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Красного Флота ул, 26, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 комбинированного вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Ломоносова ул, 17, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад №20 общеразвивающего вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Михайловская ул, 24/22, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 21 комбинированного вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Победы ул, 34, 2, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Сафронова ул, 3, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад №4 общеразвивающего вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Скуридина ул, 5, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 31 Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Скуридина ул, 7, А, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 25 компенсирующего вида Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Ломоносов г, Федюнинского ул, 16, А, 3, 198412;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад №78 Центрального района Санкт-Петербурга;Санкт-Петербург г, Ломоносова ул, 18, А, пом1Н, 191002;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 97 компенсирующего вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Ломоносова ул, 20, А, 191002;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №20 компенсирующего вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 1, А, 3, 194356;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №126 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 19, А, 2, 194354;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №118 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 27, А, 2, 194354;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №72 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 39, А, 2, 194291;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 25 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 56, 2, 194354;Выборгский
"Санкт-Петербургское государственное автономное дошкольное образовательное учреждение ""Детский сад № 125 комбинированного вида Выборгского района Санкт-Петербурга""";Санкт-Петербург г, Луначарского пр-кт, 62, 3, 194354;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №98 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 78, А, 4, 195274;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 60 Калининского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 88, А, 2, 195269;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №103 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 9, А, 194356;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №66 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Луначарского пр-кт, 94, А, 2, 195269;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №98 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Льва Толстого ул, 1/3, А, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Макаренко пер, 6-8, А, 190068;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Максима Горького ул, 4, А, 196641;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 106 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Малая Балканская ул, 16, А, 2, 192281;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 113 компенсирующего вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Малая Балканская ул, 32, А, 2, 192283;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 47 компенсирующего вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Малая Балканская ул, 42, А, 2, 192283;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 35 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Малая Карпатская ул, 23, А, 2, 192289;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №37 Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Малая Карпатская ул, 9, А, 2, 192289;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №17 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Малый В.О. пр-кт, 15, В, 199004;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №74 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Малый В.О. пр-кт, 6, А, 199004;Василеостровский
Индивидуальный предприниматель Сидорова Мария Олеговна;Санкт-Петербург г, Малый В.О. пр-кт, 64, 1, 199406;
Государственное бюджетное дошкольное образовательное учреждение детский сад № 39 компенсирующего вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Манежный пер, 7, А, 191123;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №25 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Марата ул, 16, Б, 191025;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 100 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Марата ул, 68, А, 191119;Центральный
"Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 компенсирующего вида Центрального района Санкт-Петербурга ""Консультативно-практический центр по абилитации детей со зрительной патологией""";Санкт-Петербург г, Марата ул, 79, А, 191119;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №35 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Маршала Блюхера пр-кт, 51, А, 2, 195067;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 12 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Маршала Блюхера пр-кт, 67, А, 3, 195253;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №1 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Кировского района Санкт - Петербурга;Санкт-Петербург г, Маршала Говорова ул, 24, А, 2, 198097;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №65 Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Жукова пр-кт, 26, 2 литер А, 198303;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 18 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Жукова пр-кт, 32, А, 2, 198303;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №54 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Жукова пр-кт, 34, А, 2, 198303;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 44 компенсирующего вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Жукова пр-кт, 56, А, 3, 198261;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №67 компенсирующего вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Жукова пр-кт, 70, А, 3, 198261;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 83 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Захарова ул, 18, А, 3, 198328;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 72 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Захарова ул, 22, А, 4, 198328;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Захарова ул, 27, А, 4, 198330;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 55 компенсирующего вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 10, А, 1, 198302;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 75 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 24, А, 3, 198332;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 74 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 28, А, 2, 198332;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 комбинированного вида Красносельского района Санкт -Петербурга;Санкт-Петербург г, Маршала Казакова ул, 38, А, 2, 198332;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 77 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 40, А, 2, 198332;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №53 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 5, A, 2, 198302;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №91 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 72, 2, 198335;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №92 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Маршала Казакова ул, 78, 2, 198335;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 Приморского района Санкт-Петербурга;Санкт-Петербург г, Маршала Новикова ул, 1, 2, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №49 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Маршала Новикова ул, 2, А, 2, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 26 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Маршала Тухачевского ул, 5, А, 195253;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 60 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Центрального района Санкт-Петербурга;Санкт-Петербург г, Маяковского ул, 1/96, А, 191025;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 68 Приморского района Санкт-Петербурга;Санкт-Петербург г, Мебельная ул, 23, А, 197345;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №89 Приморского района Санкт-Петербурга;Санкт-Петербург г, Мебельная ул, 47, А, 2, 197374;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №47 Калининского района Санкт-Петербурга;Санкт-Петербург г, Меншиковский пр-кт, 13, А, 2, 195273;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 104, 2, 195221;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №9 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 128, А, 195197;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №22 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 20, А, 195027;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №33 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 21, А, 4, 195176;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №29 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 25, А, 4, 195176;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 20 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 63, А, 2, 195221;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 82, А, 2, 195176;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 27 Калининского района Санкт-Петербурга;Санкт-Петербург г, Металлистов пр-кт, 86, А, 2, 195221;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 109 Центрального района Санкт-Петербурга;Санкт-Петербург г, Миллионная ул, 23, А, 191186;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 8 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Михаила Дудина, 25, 3, 194358;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №14 Калининского района Санкт-Петербурга;Санкт-Петербург г, Михайлова ул, 5, А, 195009;Калининский
Дошкольное отделение при ГБОУ СОШ №5 ;Санкт-Петербург г, Мичманская ул, 2, 2, 199226;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Мичманская ул, 2, 2, 199226;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №86 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Монетная Б. ул, 11, 197101;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №32 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Монетная Б. ул, 24, А, 197101;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 91 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Монетная Б. ул, 32, А, 197101;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 43 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Монетная Б. ул, 8, А, 197101;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №20 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Морская наб, 35, А, 3, 199058;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Морская наб, 37, А, 2, 199155;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №32 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Морская наб, 43, А, 2, 199155;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №5 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Морской пр-кт, 26, А, 197110;Петроградский
"Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 Московского района Санкт-Петербурга ""Росинка""";Санкт-Петербург г, Московский пр-кт, 172, А, 2, 196105;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 Московского района Санкт-Петербурга;Санкт-Петербург г, Московский пр-кт, 172, А, 6, 196105;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 42 Московского района Санкт-Петербурга;Санкт-Петербург г, Московский пр-кт, 195, А, 196066;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 39 Московского района Санкт-Петербурга;Санкт-Петербург г, Московский пр-кт, 204, А, 196135;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад компенсирующего вида №151 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Московский пр-кт, 42/27, А, 190013;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 115 общеразвивающего вида с приоритетным осуществлением деятельности по социально-личностному развитию детей Центрального района Санкт-Петербурга;Санкт-Петербург г, Моховая ул, 11, А, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 88 Центрального района Санкт-Петербурга;Санкт-Петербург г, Моховая ул, 19, А, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №114 Центрального района Санкт-Петербурга;Санкт-Петербург г, Моховая ул, 37, А, пом 3-Н, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 21 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Муринский 1-й пр-кт, 3, А, 194100;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №233 компенсирующего вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Муринский 2-й пр-кт, 10, А, 2, 194156;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Наличная ул, 21, А, 199406;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №44 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Наличная ул, 32, А, 3, 199226;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №22 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Наличная ул, 36, A, 8, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №28 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Наличная ул, 40, А, 3, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №14 компенсирующего вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Наличная ул, 40, А, 6, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №90 Невского района Санкт-Петербурга;Санкт-Петербург г, Народная ул, 2, А, 2, 193079;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №62 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Народная ул, 7, С, 193079;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга;Санкт-Петербург г, Народного Oполчения пр-кт, 95, A, 198215;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №19 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Народного Ополчения пр-кт, 11, А, 198216;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №50 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Народного Ополчения пр-кт, 173, А, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №46 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга;Санкт-Петербург г, Народного Ополчения пр-кт, 179, А, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 25 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Красносельского района Санкт-Петербурга;Санкт-Петербург г, Народного Ополчения пр-кт, 209, А, 3, 198205;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 72 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Наставников пр-кт, 25, 4, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №85 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Наставников пр-кт, 29, А, 2, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №17 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Наставников пр-кт, 41, 4, литер А, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №86 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Наставников пр-кт, 41, А, 2, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №47 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Наставников пр-кт, 9, А, 2, 195298;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №2 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Науки пр-кт, 11, А, 3, 194064;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Науки пр-кт, 12, А, 3, 195257;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №5 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Науки пр-кт, 24, А, 2, 195256;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №7 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Науки пр-кт, 30, А, 2, 195252;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №8 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Науки пр-кт, 33, А, 195256;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №29 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Невский пр-кт, 182, А, 191167;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 27 Центрального района Санкт-Петербурга;Санкт-Петербург г, Невский пр-кт, 5, А, 191186;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 9 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Николая Рубцова, 12, 2, 194358;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 13 компенсирующего вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Новаторов б-р, 15, А, 198216;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №21 Кировского района Санкт-Петербурга;Санкт-Петербург г, Новаторов б-р, 42, A, 198216;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №10 Кировского района Санкт-Петербурга;Санкт-Петербург г, Новаторов б-р, 7, A, 198216;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 24 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому и художественно-эстетическому развитию детей Кировского района Санкт - Петербурга;Санкт-Петербург г, Новаторов б-р, 74, А, 198215;Кировский
